City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Laguna,US,38.421,-121.4238,64.09,60,100,21.85,overcast clouds
132,Ostrovnoy,RU,68.0531,39.5131,24.01,74,100,23.85,light snow
133,Jalu,LY,29.0331,21.5482,53.38,63,0,7.43,clear sky
134,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,76,100,10.0,overcast clouds
135,Dunmore East,IE,52.1514,-6.9861,51.69,78,83,15.79,broken clouds
136,Samana,DO,19.2056,-69.3369,73.36,90,18,7.58,few clouds
137,Iberia,US,29.9502,-91.7507,71.67,32,0,4.61,clear sky
138,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,light rain
139,Cockburn Town,TC,21.4612,-71.1419,77.68,78,0,22.12,clear sky
140,Necochea,AR,-38.5473,-58.7368,73.65,44,1,5.88,clear sky
141,Dhidhdhoo,MV,6.8833,73.1,78.75,69,13,4.29,few clouds
142,Cuamba,MZ,-14.8031,36.5372,69.01,96,98,2.62,light rain
143,Kharar,IN,30.7444,76.6478,42.71,52,0,4.61,clear sky
144,Lodja,CD,-3.4833,23.4333,69.98,97,65,2.01,broken clouds
145,Borovskoy,KZ,53.8,64.15,1.63,100,93,5.48,overcast clouds
146,Bambous Virieux,MU,-20.3428,57.7575,77.22,88,75,3.44,light rain
147,Saint-Joseph,RE,-21.3667,55.6167,78.48,79,32,9.6,scattered clouds
148,Maceio,BR,-9.6658,-35.7353,76.44,88,0,6.91,clear sky
149,Potsdam,DE,52.3989,13.0657,50.86,92,100,5.99,overcast clouds
150,Talnakh,RU,69.4865,88.3972,-34.8,97,49,0.58,scattered clouds
151,Kapoeta,SS,4.7717,33.5903,81.05,33,0,19.39,clear sky
152,Luanda,AO,-8.8368,13.2343,75.79,87,100,9.84,overcast clouds
153,Novovoronezh,RU,51.3072,39.2173,31.12,76,100,8.34,overcast clouds
154,Ponta Do Sol,PT,32.6667,-17.1,63.72,78,42,4.7,scattered clouds
155,Boa Vista,BR,2.8197,-60.6733,80.58,74,75,6.91,thunderstorm
156,Marfino,RU,55.7028,37.3822,28.31,86,75,15.66,broken clouds
157,Puerto Carreno,CO,6.189,-67.4859,82.38,65,40,6.91,scattered clouds
158,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,47,10.29,light rain
159,Carnarvon,AU,-24.8667,113.6333,79.38,75,0,9.15,clear sky
